model,ith run, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,slack,distance_look_ahead
NS,2,0,3,8,0.75,0.05,579798,127591,452207,9734,10053,9899,15103,13,37,false,3,7
NS,3,0,3,8,0.75,0.05,616443,127584,488859,9691,11546,9923,15652,13,37,false,3,7
NS,4,0,3,8,0.75,0.05,541371,127646,413725,9707,9940,9937,11755,13,37,false,3,7
NS,0,1,3,11,0.75,0.05,723820,126486,597334,9457,11418,9879,20184,13,37,false,3,7
NS,1,1,3,11,0.75,0.05,590117,124833,465284,9342,10757,9827,14294,13,37,false,3,7
NS,2,1,3,11,0.75,0.05,663074,125003,538071,9276,10639,9846,17478,13,37,false,3,7
NS,3,1,3,11,0.75,0.05,634469,126322,508147,9427,11295,9912,18018,13,37,false,3,7
NS,4,1,3,11,0.75,0.05,652170,124896,527274,9311,11616,9845,16445,13,37,false,3,7
NS,0,0,3,11,0.75,0.05,566192,126958,439234,9674,9838,9949,13509,13,37,false,3,7
NS,1,0,3,11,0.75,0.05,666345,127783,538562,9767,9860,9897,16339,13,37,false,3,7
NS,2,0,3,11,0.75,0.05,520518,128114,392404,9766,9783,9941,11067,13,37,false,3,7
NS,3,0,3,11,0.75,0.05,592875,126798,466077,9655,9790,9935,13688,13,37,false,3,7
NS,4,0,3,11,0.75,0.05,572549,128380,444169,9822,9875,9924,13833,13,37,false,3,7
NS,0,1,6,8,0.75,0.05,1040104,267364,772740,20387,20293,20695,21376,13,37,false,3,7
NS,1,1,6,8,0.75,0.05,1043510,266788,776722,20186,20380,20776,21395,13,37,false,3,7
NS,2,1,6,8,0.75,0.05,1077074,255662,821412,19333,21659,20032,22859,13,37,false,3,7
NS,3,1,6,8,0.75,0.05,1079679,253889,825790,19021,20678,20000,23291,13,37,false,3,7
NS,4,1,6,8,0.75,0.05,1081621,253391,828230,18771,21033,19946,23464,13,37,false,3,7
NS,0,0,6,8,0.75,0.05,1075133,266398,808735,20275,20446,20696,24440,13,37,false,3,7
NS,1,0,6,8,0.75,0.05,1062134,266523,795611,20321,20331,20685,24684,13,37,false,3,7
NS,2,0,6,8,0.75,0.05,1061101,266080,795021,20336,20349,20727,23338,13,37,false,3,7
NS,3,0,6,8,0.75,0.05,1080050,266479,813571,20327,20392,20708,25317,13,37,false,3,7
NS,4,0,6,8,0.75,0.05,1065051,266901,798150,20365,20420,20714,24629,13,37,false,3,7
NS,0,1,6,11,0.75,0.05,1038999,266779,772220,20085,20134,20646,22017,13,37,false,3,7
NS,1,1,6,11,0.75,0.05,1096706,255730,840976,19260,21043,19987,24512,13,37,false,3,7
NS,2,1,6,11,0.75,0.05,1042825,266937,775888,20226,20173,20679,21533,13,37,false,3,7
NS,3,1,6,11,0.75,0.05,1101072,253363,847709,18925,21923,19987,23919,13,37,false,3,7
NS,4,1,6,11,0.75,0.05,1044537,266034,778503,20194,20241,20674,22061,13,37,false,3,7
NS,0,0,6,11,0.75,0.05,1097906,267304,830602,20399,20627,20684,28218,13,37,false,3,7
NS,1,0,6,11,0.75,0.05,1171226,268016,903210,20467,20583,20712,30713,13,37,false,3,7
NS,2,0,6,11,0.75,0.05,1070344,266622,803722,20409,20481,20696,26223,13,37,false,3,7
NS,3,0,6,11,0.75,0.05,1063718,267598,796120,20496,20612,20710,26317,13,37,false,3,7
NS,4,0,6,11,0.75,0.05,1089530,267420,822110,20327,20447,20733,26396,13,37,false,3,7
NS,0,1,9,11,0.75,0.05,1571193,406430,1164763,30698,30510,31439,31798,13,37,false,3,7
NS,1,1,9,11,0.75,0.05,1574894,405560,1169334,30496,30565,31426,31787,13,37,false,3,7
NS,2,1,9,11,0.75,0.05,1521778,378823,1142955,28566,30004,29625,32530,13,37,false,3,7
NS,3,1,9,11,0.75,0.05,1574648,407344,1167304,30973,30768,31482,31796,13,37,false,3,7
NS,4,1,9,11,0.75,0.05,1571415,407040,1164375,31123,30428,31425,31868,13,37,false,3,7
NS,0,0,9,11,0.75,0.05,1583827,408714,1175113,31318,31410,31510,32198,13,37,false,3,7
NS,1,0,9,11,0.75,0.05,1588831,408883,1179948,31162,31175,31541,32257,13,37,false,3,7
NS,2,0,9,11,0.75,0.05,1590448,409255,1181193,31410,31484,31536,32243,13,37,false,3,7
NS,3,0,9,11,0.75,0.05,1586411,408749,1177662,31399,31411,31505,32160,13,37,false,3,7
NS,4,0,9,11,0.75,0.05,1585327,408951,1176376,31287,31456,31519,32170,13,37,false,3,7
NS,0,1,-1,4,1.0,0.05,662081,0,662081,999999999,13071,-1,13500,0,50,false,3,7
NS,1,1,-1,4,1.0,0.05,650597,0,650597,999999999,12692,-1,13330,0,50,false,3,7
NS,2,1,-1,4,1.0,0.05,662156,0,662156,999999999,13058,-1,13533,0,50,false,3,7
NS,3,1,-1,4,1.0,0.05,662451,0,662451,999999999,13026,-1,13509,0,50,false,3,7
NS,4,1,-1,4,1.0,0.05,651052,0,651052,999999999,12771,-1,13299,0,50,false,3,7
NS,0,0,-1,4,1.0,0.05,664897,0,664897,999999999,13123,-1,13507,0,50,false,3,7
NS,1,0,-1,4,1.0,0.05,662842,0,662842,999999999,13063,-1,13530,0,50,false,3,7
NS,2,0,-1,4,1.0,0.05,662481,0,662481,999999999,13062,-1,13521,0,50,false,3,7
NS,3,0,-1,4,1.0,0.05,661729,0,661729,999999999,13065,-1,13499,0,50,false,3,7
NS,4,0,-1,4,1.0,0.05,662199,0,662199,999999999,13061,-1,13509,0,50,false,3,7
NS,0,1,-1,8,1.0,0.05,1381565,0,1381565,999999999,27104,-1,27823,0,50,false,3,7
NS,1,1,-1,8,1.0,0.05,1382952,0,1382952,999999999,27186,-1,27893,0,50,false,3,7
NS,2,1,-1,8,1.0,0.05,1380063,0,1380063,999999999,27142,-1,27858,0,50,false,3,7
NS,3,1,-1,8,1.0,0.05,1382764,0,1382764,999999999,27220,-1,27913,0,50,false,3,7
NS,4,1,-1,8,1.0,0.05,1381173,0,1381173,999999999,27116,-1,27887,0,50,false,3,7
NS,0,0,-1,8,1.0,0.05,1385035,0,1385035,999999999,27542,-1,27903,0,50,false,3,7
